jobs=1  | threads=0.618s | processes=0.683s
jobs=2  | threads=0.624s | processes=0.384s
jobs=3  | threads=0.626s | processes=0.276s
jobs=4  | threads=0.638s | processes=0.234s
jobs=5  | threads=0.625s | processes=0.221s
jobs=6  | threads=0.613s | processes=0.192s
jobs=7  | threads=0.633s | processes=0.196s
jobs=8  | threads=0.623s | processes=0.203s
jobs=9  | threads=0.668s | processes=0.249s
jobs=10 | threads=0.649s | processes=0.385s
jobs=11 | threads=0.642s | processes=0.301s
jobs=12 | threads=0.634s | processes=0.248s
jobs=13 | threads=0.650s | processes=0.310s
jobs=14 | threads=0.628s | processes=0.329s
jobs=15 | threads=0.690s | processes=0.397s
jobs=16 | threads=0.735s | processes=0.433s
jobs=17 | threads=0.634s | processes=0.327s
jobs=18 | threads=0.628s | processes=0.292s
jobs=19 | threads=0.621s | processes=0.321s
jobs=20 | threads=0.615s | processes=0.333s
jobs=21 | threads=0.615s | processes=0.339s
jobs=22 | threads=0.614s | processes=0.316s
